RegistrationNum,RentalHousingUnits,RegisteredDate,ExpiresDate,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip
001-0134172,1,6/26/18,6/26/23,Active,1410 E PINE ST,SEATTLE,WA,98122
001-0134175,1,6/26/18,6/26/23,Active,937 26TH AVE,SEATTLE,WA,98122
001-0118196,1,4/8/16,4/8/21,Active,13539 23RD PL NE,SEATTLE,WA,98125
001-0107840,1,6/28/15,6/28/20,Active,9027 8TH AVE SW,SEATTLE,WA,98106
001-0108859,3,7/10/15,7/10/20,Active,6547 24TH AVE NW,SEATTLE,WA,98117
001-0129072,1,12/14/16,12/14/21,Active,5829 NE 75TH ST,SEATTLE,WA,98115
001-0107072,1,6/17/15,6/17/20,Active,1528 1ST AVE W,SEATTLE,WA,98119
001-0106954,1,6/16/15,6/16/20,Active,15 W GARFIELD ST,SEATTLE,WA,98119
001-0118449,3,3/18/16,3/18/21,Active,1123 14TH AVE,SEATTLE,WA,98122
001-0134177,1,6/26/18,6/26/23,Active,1330 ALKI AVE SW,SEATTLE,WA,98116
001-0122937,1,6/28/16,6/28/21,Active,10631 RUSTIC RD S,SEATTLE,WA,98178
001-0108303,1,6/30/15,6/30/20,Active,3434 14TH AVE W,SEATTLE,WA,98119
001-0134171,1,6/26/18,6/26/23,Active,9230 31ST AVE SW,SEATTLE,WA,98126
001-0134176,1,6/26/18,6/26/23,Active,9434 B 35TH AVE SW,SEATTLE,WA,98126
001-0104560,8,3/24/15,3/24/20,Active,1356 ALKI AVE SW,SEATTLE,WA,98116
001-0134174,2,6/26/18,6/26/23,Active,549 NE RAVENNA BLVD,SEATTLE,WA,98115
001-0115315,3,12/28/15,12/28/20,Active,2431 NW 57TH ST,SEATTLE,WA,98107
001-0134173,2,6/26/18,6/26/23,Active,547 NE RAVENNA BLVD,SEATTLE,WA,98115
001-0134178,1,6/26/18,6/26/23,Active,309 NW 92ND ST,SEATTLE,WA,98117
001-0128569,1,12/2/16,12/2/21,Active,5609 S PRENTICE ST,SEATTLE,WA,98178
001-0134065,3,6/13/18,6/13/23,Active,172 22nd AVE,SEATTLE,WA,
001-0106891,1,6/15/15,6/15/20,Active,9054 18TH AVE SW,SEATTLE,WA,98106
001-0106206,1,5/28/15,5/28/20,Active,734 N 83RD ST,SEATTLE,WA,98103
001-0124642,1,9/6/16,9/6/21,Active,7353 27TH AVE NW,SEATTLE,WA,98117
001-0127457,1,10/28/16,10/28/21,Active,4858 S KENNY ST,SEATTLE,WA,98118
001-0115578,1,12/30/15,12/30/20,Active,1548 B NW 58TH ST,SEATTLE,WA,98107
001-0102082,19,9/29/14,9/29/19,Active,309 BELMONT AVE E,SEATTLE,WA,98102
001-0100609,24,9/4/14,9/4/19,Active,6609 SW ADMIRAL WAY,SEATTLE,WA,98116
001-0102632,8,10/17/14,10/17/19,Active,9556 SAND POINT WAY NE,SEATTLE,WA,98115
001-0129530,1,12/22/16,12/22/21,Active,7055 25TH AVE NE,SEATTLE,WA,98115
001-0134189,2,6/27/18,6/27/23,Active,915 N 102ND ST,SEATTLE,WA,98133
001-0124461,1,8/9/16,8/9/21,Active,2019 E PROSPECT ST,SEATTLE,WA,98112
001-0130694,1,2/14/17,2/14/22,Active,4546 S LUCILE ST,SEATTLE,WA,98118
001-0134191,1,6/28/18,6/28/23,Active,1300 W Boston ST,,,
001-0107607,3,6/25/15,6/25/20,Active,8100 DELRIDGE WAY SW,SEATTLE,WA,98106
001-0134190,1,6/27/18,6/27/23,Active,6519 34th AVE SW,,,
001-0106270,4,6/1/15,6/1/20,Active,8626 26TH AVE SW,SEATTLE,WA,98106
001-0117830,3,3/8/16,3/8/21,Active,1301 E MARION ST,SEATTLE,WA,98122
001-0134184,1,6/27/18,6/27/23,Active,2630 45TH AVE SW,SEATTLE,WA,98116
001-0134181,1,6/27/18,6/27/23,Active,8617 LINDEN AVE N,SEATTLE,WA,98103
001-0131957,1,7/5/17,7/5/22,Active,1732 Alki AVE SW,,,
001-0102101,49,9/29/14,9/29/19,Active,505 BOYLSTON AVE E,SEATTLE,WA,98102
001-0122565,1,6/23/16,6/23/21,Active,1412 N 46TH ST,SEATTLE,WA,98103
001-0125774,1,9/15/16,9/15/21,Active,6915 51ST AVE S,SEATTLE,WA,98118
001-0115284,2,12/28/15,12/28/20,Active,2314 S BAYVIEW ST,SEATTLE,WA,98144
001-0129892,1,1/3/17,1/3/22,Active,819 VIRGINIA ST,SEATTLE,WA,98101
001-0130705,1,1/27/17,1/27/22,Active,8003 16TH AVE NE,SEATTLE,WA,98115
001-0100608,11,9/4/14,9/4/19,Active,3057 63RD AVE SW,SEATTLE,WA,98116
001-0107930,1,6/29/15,6/29/20,Active,109 NE 56TH ST,SEATTLE,WA,98105
001-0118899,1,3/29/16,3/29/21,Active,4249 NE 124TH ST,SEATTLE,WA,98125
001-0109197,2,8/4/15,8/4/20,Active,4019 SW OREGON ST,SEATTLE,WA,98116
001-0102293,21,10/2/14,10/2/19,Active,1512 BOYLSTON AVE,SEATTLE,WA,98122
001-0102117,21,9/29/14,9/29/19,Active,512 BOYLSTON AVE E,SEATTLE,WA,98102
001-0134186,34,6/27/18,6/27/23,Active,11 W MERCER ST,SEATTLE,WA,98119
001-0106313,1,6/2/15,6/2/20,Active,5522 35TH AVE NE,SEATTLE,WA,98105
001-0134193,1,6/28/18,6/28/23,Active,919 29TH AVE S,SEATTLE,WA,98144
001-0107666,1,6/29/15,6/29/20,Active,5902 41ST AVE SW,SEATTLE,WA,98136
001-0109635,1,8/17/15,8/17/20,Active,7902 DELRIDGE WAY SW,SEATTLE,WA,98106
001-0134199,1,6/28/18,6/28/23,Active,699 JOHN ST,SEATTLE,WA,98109
001-0134197,1,6/28/18,6/28/23,Active,5240 19TH AVE SW,SEATTLE,WA,98106
001-0134196,1,6/28/18,6/28/23,Active,1800 TAYLOR AVE N,SEATTLE,WA,98109
001-0134195,1,6/28/18,6/28/23,Active,5240 19TH AVE SW,SEATTLE,WA,98106
001-0134194,1,6/28/18,6/28/23,Active,3028 WESTERN AVE,SEATTLE,WA,98121
001-0107379,1,6/22/15,6/22/20,Active,500 5TH AVE W,SEATTLE,WA,98119
001-0103666,4,2/3/15,2/3/20,Active,4420 GREENWOOD AVE N,SEATTLE,WA,98103
001-0105788,1,5/14/15,5/14/20,Active,5224 25TH AVE SW,SEATTLE,WA,98106
001-0110437,1,9/24/15,9/24/20,Active,4147 40TH AVE SW,SEATTLE,WA,98116
001-0134203,1,6/28/18,6/28/23,Active,2015 TERRY AVE,SEATTLE,WA,98121
001-0134201,1,6/28/18,6/28/23,Active,5620 35TH AVE SW,SEATTLE,WA,98126
001-0134204,1,6/28/18,6/28/23,Active,1728 NE 90TH ST,SEATTLE,WA,98115
001-0134202,1,6/28/18,6/28/23,Active,902 NW 64TH ST,SEATTLE,WA,98107
001-0128488,2,2/9/17,2/9/22,Active,1750 ALKI AVE SW,SEATTLE,WA,98116
001-0109768,1,8/21/15,8/21/20,Active,2572 14TH AVE W,SEATTLE,WA,98119
001-0118279,1,3/15/16,3/15/21,Active,2614 B E UNION ST,SEATTLE,WA,98122
001-0134200,1,6/28/18,6/28/23,Active,1065 E PROSPECT ST,SEATTLE,WA,98102
001-0104686,8,3/25/15,3/25/20,Active,3601 42ND AVE SW,SEATTLE,WA,98116
001-0115452,1,12/29/15,12/29/20,Active,5635 42ND AVE W,SEATTLE,WA,98199
001-0104306,1,3/16/15,3/16/20,Active,4321 9TH AVE NE,SEATTLE,WA,98105
001-0103917,8,2/26/15,2/26/20,Active,2710 60TH AVE SW,SEATTLE,WA,98116
001-0109706,1,8/18/15,8/18/20,Active,4121 25TH AVE SW,SEATTLE,WA,98106
001-0130110,1,1/7/17,1/7/22,Active,6207 38TH AVE NE,SEATTLE,WA,98115
001-0116372,1,1/24/16,1/24/21,Active,719 N 61ST ST,SEATTLE,WA,98103
001-0105902,9,5/19/15,5/19/20,Active,17 ETRURIA ST,SEATTLE,WA,98109
001-0128629,3,12/4/16,12/4/21,Active,1512 17TH AVE E,SEATTLE,WA,98112
001-0106606,1,6/10/15,6/10/20,Active,5034 25TH AVE SW,SEATTLE,WA,98106
001-0134210,1,6/30/18,6/30/23,Active,5718 29TH AVE NE,SEATTLE,WA,98105
001-0106269,2,6/1/15,6/1/20,Active,9426 14TH AVE SW,SEATTLE,WA,98106
001-0134205,1,6/29/18,6/29/23,Active,8415 5TH AVE NE,SEATTLE,WA,98115
001-0120244,2,5/5/16,5/5/21,Active,8011 AURORA AVE N,SEATTLE,WA,98103
001-0134185,1,6/29/18,6/29/23,Active,5541 29TH AVE NE,SEATTLE,WA,98105
001-0134208,1,6/30/18,6/30/23,Active,2746 NE 88TH ST,SEATTLE,WA,98115
001-0108484,1,7/2/15,7/2/20,Active,4547 8TH AVE NE,SEATTLE,WA,98105
001-0102994,1,11/18/14,11/18/19,Active,211 SUMMIT AVE E,SEATTLE,WA,98102
001-0134207,1,6/30/18,6/30/23,Active,2415 2ND AVE,SEATTLE,WA,98121
001-0134206,1,6/29/18,6/29/23,Active,3907 WHITMAN AVE N,SEATTLE,WA,98103
001-0106604,1,6/10/15,6/10/20,Active,8609 25TH AVE SW,SEATTLE,WA,98106
001-0104304,5,3/16/15,3/16/20,Active,4711 RAVENNA AVE NE,SEATTLE,WA,98105
001-0108260,1,6/30/15,6/30/20,Active,3007 HUMES PL W,SEATTLE,WA,98119
001-0134211,1,7/1/18,7/1/23,Active,8816 NESBIT AVE N,SEATTLE,WA,98103
001-0106362,1,6/3/15,6/3/20,Active,2416 SW 98TH ST,SEATTLE,WA,98106
001-0128133,1,11/15/16,11/15/21,Active,5334 7TH AVE NE,SEATTLE,WA,98105
001-0100607,13,9/4/14,9/4/19,Active,2440 54TH PL SW,SEATTLE,WA,98116
001-0105773,1,5/13/15,5/13/20,Active,1283 SW OTHELLO ST,SEATTLE,WA,98106
001-0134212,1,7/1/18,7/1/23,Active,9558 Greenwood AVE N,,,
001-0128211,3,11/19/16,11/19/21,Active,8212 15TH AVE NE,SEATTLE,WA,98115
001-0104355,2,3/18/15,3/18/20,Active,2601 CALIFORNIA AVE SW,SEATTLE,WA,98116
001-0114213,1,12/10/15,12/10/20,Active,925 NW 63RD ST,SEATTLE,WA,98107
001-0119914,1,4/28/16,4/28/21,Active,13539 30TH AVE NE,SEATTLE,WA,98125
001-0134215,1,7/2/18,7/2/23,Active,6504 28TH AVE S,SEATTLE,WA,98108
001-0107053,4,6/16/15,6/16/20,Active,907 SW HOLDEN ST,SEATTLE,WA,98106
001-0115755,1,12/31/15,12/31/20,Active,2727 FRANKLIN AVE E,SEATTLE,WA,98102
001-0134213,1,7/2/18,7/2/23,Active,10524 23RD AVE NE,SEATTLE,WA,98125
001-0111132,1,9/21/15,9/21/20,Active,3246 61ST AVE SW,SEATTLE,WA,98116
001-0100773,11,9/8/14,9/8/19,Active,1540 12TH AVE S,SEATTLE,WA,98144
001-0100772,19,9/8/14,9/8/19,Active,1115 S ATLANTIC ST,SEATTLE,WA,98134
001-0106602,1,6/10/15,6/10/20,Active,7551 20TH AVE SW,SEATTLE,WA,98106
001-0103754,8,2/13/15,2/13/20,Active,1516 12TH AVE S,SEATTLE,WA,98144
001-0104609,5,3/24/15,3/24/20,Active,7317 BAINBRIDGE PL SW,SEATTLE,WA,98136
001-0133025,1,12/20/17,12/20/22,Active,9701 WALLINGFORD AVE N,SEATTLE,WA,98103
001-0123591,1,7/4/16,7/4/21,Active,8745 GREENWOOD AVE N,SEATTLE,WA,98103
001-0123045,1,6/28/16,6/28/21,Active,6960 CALIFORNIA AVE SW,SEATTLE,WA,98136
001-0120995,1,5/27/16,5/27/21,Active,723 N 80TH ST,SEATTLE,WA,98103
001-0133023,1,12/20/17,12/20/22,Active,621 5TH AVE N,SEATTLE,WA,98109
001-0121593,1,6/9/16,6/9/21,Active,4504 B FREMONT AVE N,SEATTLE,WA,98103
001-0113833,2,12/7/15,12/7/20,Active,6315 26TH AVE NW,SEATTLE,WA,98107
001-0130061,1,1/6/17,1/6/22,Active,7332 38TH AVE NE,SEATTLE,WA,98115
001-0134216,1,7/3/18,7/3/23,Active,8106 8TH AVE NW,SEATTLE,WA,98117
001-0122346,1,6/21/16,6/21/21,Active,8532 MIDVALE AVE N,SEATTLE,WA,98103
001-0114353,2,12/12/15,12/12/20,Active,3016 A NE 140TH ST,SEATTLE,WA,98125
001-0124038,4,10/7/16,10/7/21,Active,1336 16TH AVE S,SEATTLE,WA,98144
001-0123279,1,6/30/16,6/30/21,Active,733 N 97TH ST,SEATTLE,WA,98103
001-0117097,1,2/19/16,2/19/21,Active,2855 S ORCAS ST,SEATTLE,WA,98108
001-0121790,1,6/13/16,6/13/21,Active,3418 DENSMORE AVE N,SEATTLE,WA,98103
001-0116379,1,1/25/16,1/25/21,Active,1201 S LUCILE ST,SEATTLE,WA,98108
001-0127559,1,10/18/16,10/18/21,Active,2051 NW 61ST ST,SEATTLE,WA,98107
001-0108997,24,7/21/15,7/21/20,Active,1220 E REMINGTON CT,SEATTLE,WA,98122
001-0134221,1,7/4/18,7/4/23,Active,1420 E Pine ST,,,
001-0134217,1,7/4/18,7/4/23,Active,7202 A CALIFORNIA AVE SW,SEATTLE,WA,98136
001-0134218,1,7/4/18,7/4/23,Active,3401 YORK RD S,SEATTLE,WA,98144
001-0103659,13,2/4/15,2/4/20,Active,8412 DELRIDGE WAY SW,SEATTLE,WA,98106
001-0134219,1,7/4/18,7/4/23,Active,6701 DAYTON AVE N,SEATTLE,WA,98103
001-0134220,1,7/4/18,7/4/23,Active,3936 B 1ST AVE NE,SEATTLE,WA,98105
001-0134224,1,7/5/18,7/5/23,Active,1725 24TH AVE,SEATTLE,WA,98122
001-0134222,2,7/5/18,7/5/23,Active,5937 45TH AVE SW,SEATTLE,WA,98136
001-0124891,1,9/7/16,9/7/21,Active,8408 32ND AVE SW,SEATTLE,WA,98126
001-0123348,1,6/30/16,6/30/21,Active,8745 GREENWOOD AVE N,SEATTLE,WA,98103
001-0110690,1,9/13/15,9/13/20,Active,601 BELMONT AVE E,SEATTLE,WA,98102
001-0112268,1,10/24/15,10/24/20,Active,4216 CHILBERG AVE SW,SEATTLE,WA,98116
001-0134223,1,7/5/18,7/5/23,Active,519 W ROY ST,SEATTLE,WA,98119
001-0106406,50,6/4/15,6/4/20,Active,901 STEWART ST,SEATTLE,WA,98101
001-0109082,1,7/31/15,7/31/20,Active,2901 412 NE BLAKELEY ST,SEATTLE,WA,98105
001-0116928,1,2/12/16,2/12/21,Active,701 17TH AVE,SEATTLE,WA,98122
001-0113528,1,12/4/15,12/4/20,Active,3440 37TH AVE W,SEATTLE,WA,98199
001-0117023,1,2/17/16,2/17/21,Active,11511 5TH AVE NE,SEATTLE,WA,98125
001-0111714,1,10/8/15,10/8/20,Active,5326 SW Charlestown ST,SEATTLE,WA,98116
001-0131581,1,5/11/17,5/11/22,Active,6208 29TH AVE NE,SEATTLE,WA,98115
001-0121634,1,6/10/16,6/10/21,Active,8800 CORLISS AVE N,SEATTLE,WA,98103
001-0110205,1,9/4/15,9/4/20,Active,3075 63RD AVE SW,SEATTLE,WA,98116
001-0111440,1,9/24/15,9/24/20,Active,14318 COURTLAND PL N,SEATTLE,WA,98133
001-0111676,4,10/13/15,10/13/20,Active,409 FEDERAL AVE E,SEATTLE,WA,98102
001-0133385,1,2/21/18,2/21/23,Active,3150 W government WAY,,,
001-0133230,1,1/25/18,1/25/23,Active,2220 31ST AVE S,SEATTLE,WA,98144
001-0128899,1,12/9/16,12/9/21,Active,11223 59TH AVE S,SEATTLE,WA,98178
001-0119782,1,4/7/16,4/7/21,Active,7702 BEACON AVE S,SEATTLE,WA,98118
001-0126244,1,9/20/16,9/20/21,Active,4208 S WILLOW ST,SEATTLE,WA,98118
001-0120975,1,5/25/16,5/25/21,Active,3731 EASTERN AVE N,SEATTLE,WA,98103
001-0117477,1,3/2/16,3/2/21,Active,835 NE 102ND ST,SEATTLE,WA,98125
001-0121523,1,6/8/16,6/8/21,Active,7615 CALIFORNIA AVE SW,SEATTLE,WA,98136
001-0123143,8,6/30/16,6/30/21,Active,1722 12TH AVE,SEATTLE,WA,98122
001-0127589,1,10/17/16,10/17/21,Active,4213 PHINNEY AVE N,SEATTLE,WA,98103
001-0117891,1,3/9/16,3/9/21,Active,3007 S PORTLAND ST,SEATTLE,WA,98108
001-0125985,1,9/14/16,9/14/21,Active,3228 38TH AVE SW,SEATTLE,WA,98126
001-0118514,1,3/18/16,3/18/21,Active,523 NE 125TH ST,SEATTLE,WA,98125
001-0116197,1,1/19/16,1/19/21,Active,205 17TH AVE S,SEATTLE,WA,98144
001-0129621,1,12/29/16,12/29/21,Active,810 NE 97TH ST,SEATTLE,WA,98115
001-0117007,2,2/18/16,2/18/21,Active,119 12TH AVE,SEATTLE,WA,98122
001-0125625,1,10/10/16,10/10/21,Active,4755 35TH AVE SW,SEATTLE,WA,98126
001-0133525,1,3/16/18,3/16/23,Active,3300 NE 65th ST,,,
001-0127029,1,9/30/16,9/30/21,Active,2916 SW RAYMOND ST,SEATTLE,WA,98126
001-0128297,1,11/22/16,11/22/21,Active,6015 PHINNEY AVE N,SEATTLE,WA,98103
001-0122109,1,6/27/16,6/27/21,Active,9300 STONE AVE N,SEATTLE,WA,98103
001-0112128,2,9/30/15,9/30/20,Active,4202 CHILBERG AVE SW,SEATTLE,WA,98116
001-0125889,1,9/27/16,9/27/21,Active,7115 45TH AVE S,SEATTLE,WA,98118
001-0133210,2,1/22/18,1/22/23,Active,9053 37th AVE S,,,
001-0111906,2,9/29/15,9/29/20,Active,1411 ALKI AVE SW,SEATTLE,WA,98116
001-0129413,1,12/27/16,12/27/21,Active,1515 NE 97TH ST,SEATTLE,WA,98115
001-0121258,1,6/1/16,6/1/21,Active,2908 S LANE ST,SEATTLE,WA,98144
001-0112001,2,9/30/15,9/30/20,Active,3044 63RD AVE SW,SEATTLE,WA,98116
001-0129839,1,1/1/17,1/1/22,Active,7525 2ND AVE NE,SEATTLE,WA,98115
001-0121005,1,5/26/16,5/26/21,Active,3643 DENSMORE AVE N,SEATTLE,WA,98103
001-0110463,1,9/11/15,9/11/20,Active,1309 C N 145TH ST,SEATTLE,WA,98133
001-0130088,1,1/6/17,1/6/22,Active,146 NW 74TH ST,SEATTLE,WA,98117
001-0125596,1,9/9/16,9/9/21,Active,6310 15TH AVE NE,SEATTLE,WA,98115
001-0111586,1,9/27/15,9/27/20,Active,1520 4TH AVE W,SEATTLE,WA,98119
001-0102310,11,10/1/14,10/1/19,Active,2323 W Boston ST,SEATTLE,WA,98199
001-0115833,2,1/1/16,1/1/21,Active,650 NW 54TH ST,SEATTLE,WA,98107
001-0120918,1,5/23/16,5/23/21,Active,6525 39TH AVE SW,SEATTLE,WA,98136
001-0133650,1,4/3/18,4/3/23,Active,2414 H SW HOLDEN ST,SEATTLE,WA,98106
001-0125305,1,8/31/16,8/31/21,Active,9726 ASHWORTH AVE N,SEATTLE,WA,98103
001-0114235,1,12/16/15,12/16/20,Active,5117 9TH AVE NW,SEATTLE,WA,98107
001-0115660,2,12/31/15,12/31/20,Active,3450 22ND AVE W,SEATTLE,WA,98199
001-0132726,1,11/4/17,11/4/22,Active,4253 A PALATINE AVE N,SEATTLE,WA,98103
001-0126663,1,9/27/16,9/27/21,Active,7627 8TH AVE NW,SEATTLE,WA,98117
001-0114985,1,12/22/15,12/22/20,Active,401 9TH AVE N,SEATTLE,WA,98109
001-0124034,1,7/21/16,7/21/21,Active,7134 39TH AVE SW,SEATTLE,WA,98136
001-0128886,1,12/13/16,12/13/21,Active,1231 NE 91ST ST,SEATTLE,WA,98115
001-0122623,1,7/25/16,7/25/21,Active,4122 SW PORTLAND ST,SEATTLE,WA,98136
001-0118780,1,3/23/16,3/23/21,Active,2033 NE 113TH ST,SEATTLE,WA,98125
001-0125335,1,8/31/16,8/31/21,Active,4012 S BOZEMAN ST,SEATTLE,WA,98118
001-0110372,1,9/8/15,9/8/20,Active,11818 11TH AVE NW,SEATTLE,WA,98177
001-0130340,1,1/11/17,1/11/22,Active,829 NE 78TH ST,SEATTLE,WA,98115
001-0110258,1,9/5/15,9/5/20,Active,10733 ASHWORTH AVE N,SEATTLE,WA,98133
001-0133602,1,3/26/18,3/26/23,Active,1008 6TH AVE N,SEATTLE,WA,98109
